@relation Learn_02

@attribute	Asmv	numeric
@attribute	Gsmv	numeric
@attribute	Aavg	numeric
@attribute	Astdev	numeric
@attribute	Gavg	numeric
@attribute	Gstdev	numeric
@attribute	state	{ unknown, idle, walk, active }


@data
1.05276, 3.25357, 1.80875, 0.0136359, 3.65625, 1.15512, idle
1.05688, 6.51725, 1.80875, 0.0136359, 4.3975, 2.37292, idle
1.05612, 4.88657, 1.8125, 0.0119896, 4.87875, 2.47164, idle
1.06193, 4.94344, 1.81375, 0.0131696, 5.1075, 2.60606, idle
1.06344, 6.18813, 1.81625, 0.0140868, 5.83625, 2.71377, idle
1.06799, 10.2764, 1.8225, 0.0119896, 7.3175, 3.47836, idle
1.08715, 17.5048, 1.8275, 0.0198431, 10.7813, 7.91888, idle
1.03619, 26.4605, 1.82375, 0.026428, 15.6738, 12.5947, idle
1.00469, 10.4208, 1.8075, 0.0547152, 16.7875, 12.013, idle
1.06118, 21.4455, 1.80375, 0.054758, 19.195, 12.3156, idle
1.10793, 9.19681, 1.815, 0.065192, 20.1462, 11.6156, idle
1.08628, 14.9175, 1.82125, 0.0686363, 21.5725, 10.6208, idle
1.03619, 34.2157, 1.81375, 0.0705226, 26.2262, 12.0556, idle
1.0625, 24.8452, 1.81, 0.0698212, 28.4587, 11.2286, idle
1.07126, 20.8462, 1.80375, 0.0663207, 27.6288, 11.3136, idle
1.10295, 14.9744, 1.81625, 0.0681795, 24.6262, 10.0598, idle
1.07341, 12.645, 1.83375, 0.0449826, 24.585, 10.1028, idle
1.09375, 18.341, 1.84125, 0.0419635, 24.5725, 10.0972, idle
1.09266, 15.1508, 1.83125, 0.0329536, 25.6713, 9.4151, idle
1.04062, 2.46274, 1.82, 0.0295804, 23.7787, 11.8188, idle
1.0557, 3.24683, 1.825, 0.0234521, 18.6312, 9.81282, idle
1.04322, 3.07094, 1.8225, 0.0258602, 15.2175, 9.32015, idle
1.06226, 3.00722, 1.8225, 0.0258602, 12.7663, 9.37963, idle
1.04043, 2.2865, 1.8125, 0.0204634, 10.845, 9.56434, idle
1.05934, 3.42942, 1.8125, 0.0204634, 9.8, 9.62669, idle
1.05114, 2.14002, 1.8075, 0.0147902, 6.5375, 6.44781, idle
1.04139, 1.74428, 1.8025, 0.0129904, 3.88625, 1.02301, idle
1.06513, 1.82746, 1.8075, 0.0147902, 3.74, 1.12229, idle
1.04537, 2.00569, 1.80625, 0.0149478, 3.56875, 1.04474, idle
1.05276, 3.25357, 1.80875, 0.0136359, 3.65625, 1.15512, idle
1.05688, 6.51725, 1.80875, 0.0136359, 4.3975, 2.37292, idle
1.05612, 4.88657, 1.8125, 0.0119896, 4.87875, 2.47164, idle
1.06193, 4.94344, 1.81375, 0.0131696, 5.1075, 2.60606, idle
1.06344, 6.18813, 1.81625, 0.0140868, 5.83625, 2.71377, idle
1.06799, 10.2764, 1.8225, 0.0119896, 7.3175, 3.47836, idle
1.08715, 17.5048, 1.8275, 0.0198431, 10.7813, 7.91888, idle
1.06869, 23.9814, 1.82875, 0.0183286, 15.2725, 11.7535, idle
