@relation .\arff\sample03.arff

@attribute 	ax	numeric
@attribute 	ay	numeric
@attribute 	az	numeric
@attribute 	gx	numeric
@attribute 	gy	numeric
@attribute 	gz	numeric
@attribute 	SMVAcc	numeric
@attribute 	SMVGyro	numeric
@attribute 	SMA30Acc	numeric
@attribute 	SMA30Gyro	numeric
@attribute 	Angle	numeric


@data
0.16, -0.09, 1.04, -54.92, 48.73, -9.75, 1.05608, 74.0667, 1.42467, 156.076, 87.7076
-0.13, -0.71, 1.21, 25.5, 53.13, -11.64, 1.40894, 60.0711, 1.42833, 153.302, 77.8776
0.23, -0.23, 0.81, 49.61, -81.12, -37.81, 0.872869, 102.329, 1.42133, 151.224, 35.9041
0.05, -0.28, 0.95, 71.31, 41.3, -8.45, 0.991665, 82.8384, 1.41067, 144.056, 18.1949
-0, -0.07, 0.88, 50.93, 1.88, -0.64, 0.88278, 50.9687, 1.394, 144.4, 28.3576
0.05, -0.17, 0.87, 37.67, -28.79, 22.81, 0.887863, 52.6136, 1.38, 143.846, 29.5414
0.07, -0.13, 1.01, 37.23, -25.92, -27.34, 1.02074, 52.966, 1.37567, 144.273, 89.427
0.19, -0.07, 0.97, 0.2, 0, 8.48, 0.990909, 8.48236, 1.37133, 141.333, 14.0699
0.19, -0.09, 0.75, 0.93, 20.1, 9.06, 0.778909, 22.0671, 1.36067, 136.812, 41.4096
0.07, -0.28, 1.39, 13.63, 22.81, -19.01, 1.41965, 32.6719, 1.367, 134.113, 67.0455
0.04, -0.2, 1, 43.75, -50.33, -20.7, 1.02059, 69.8259, 1.36667, 131.995, 0
0.49, -0.12, 0.71, -15.65, -14.51, -88.82, 0.870976, 91.348, 1.359, 129.126, 44.7651
0.38, -0.26, 0.79, -3.82, 12.33, -116.87, 0.914385, 117.581, 1.371, 126.417, 37.8145
0.39, -0.02, 1, -14.16, 34.79, -133.33, 1.07355, 138.52, 1.36533, 128.372, 0
0.33, -0.21, 0.99, -23.5, 27.6, -96.05, 1.06447, 102.663, 1.37033, 128.941, 8.10961
0.11, -0.02, 0.91, -106.8, 73.97, -59.12, 0.916842, 142.734, 1.361, 132.971, 24.4946
0.19, -0.38, 0.66, -71.05, 57.55, -67.47, 0.78492, 113.632, 1.35433, 135.073, 48.7001
-0.05, -0.38, 0.85, -35.69, 119.29, -22.96, 0.932416, 126.614, 1.35, 134.928, 31.7883
0.22, -0.12, 0.71, 1.16, 49.95, 8.68, 0.752928, 50.7118, 1.334, 132.016, 44.7651
-0.15, -0.62, 1.05, -52.49, 116.03, -13.01, 1.22858, 128.013, 1.36, 130.071, 87.134
-0.31, -0.31, 1.01, -8.29, -3.94, -27.35, 1.10104, 28.8491, 1.37333, 124.855, 89.427
0.01, -0.2, 0.77, -59.22, -8.57, -9.62, 0.795613, 60.6053, 1.36333, 121.504, 39.6461
-0.06, -0.54, 0.88, -21.77, 20.52, 6.28, 1.03421, 30.5686, 1.37767, 121.13, 28.3576
