@relation TestSet

@attribute	Asmv	numeric
@attribute	Gsmv	numeric
@attribute	Aavg	numeric
@attribute	Astdev	numeric
@attribute	Gavg	numeric
@attribute	Gstdev	numeric
@attribute	state	{ unknown, idle, walk, active }


@data
1.00688, 3.27764, 1.21222, 0.0195947, 5.57, 2.82884, idle
0.9993, 4.34021, 1.21111, 0.0185259, 5.22, 2.26933, idle
0.989596, 1.93106, 1.21056, 0.0184006, 4.97389, 2.29327, idle
0.989596, 2.88446, 1.21, 0.0182574, 5.02278, 2.27898, idle
1.00424, 3.32152, 1.21278, 0.017258, 5.08833, 2.26584, idle
1.00429, 2.0424, 1.21556, 0.0173916, 5.09778, 2.25883, idle
0.992018, 0.928924, 1.21611, 0.0170421, 5.125, 2.21248, idle
0.984937, 1.38257, 1.21611, 0.0170421, 4.99667, 2.29984, idle
0.992018, 0.478957, 1.21556, 0.0170692, 4.52222, 2.23486, idle
0.994585, 1.88521, 1.21667, 0.0166667, 4.55444, 2.20162, idle
0.994636, 0.604152, 1.21889, 0.0155952, 4.31333, 2.33387, idle
0.994636, 2.05546, 1.22056, 0.0150821, 4.13889, 2.29818, idle
1.00175, 1.29298, 1.22056, 0.0150821, 3.75444, 2.03308, idle
1.00429, 2.6058, 1.22278, 0.0148345, 3.47556, 1.71864, idle
1.02127, 3.58989, 1.22333, 0.0159861, 3.39889, 1.58096, idle
1.00707, 9.59361, 1.22611, 0.017682, 3.94722, 2.97142, idle
0.963224, 7.41856, 1.22667, 0.0166667, 4.49278, 3.51787, idle
0.970361, 3.48277, 1.225, 0.0177169, 4.55111, 3.52058, idle
0.99925, 3.09277, 1.22333, 0.0176383, 4.51722, 3.5172, idle
0.992069, 1.71126, 1.22333, 0.0176383, 4.31167, 3.51395, idle
0.992069, 2.2387, 1.22389, 0.017365, 4.36389, 3.49595, idle
0.982395, 3.87843, 1.22389, 0.017365, 4.40222, 3.50397, idle
1.00175, 1.91919, 1.22389, 0.017365, 4.26111, 3.52051, idle
